PLAYER,TEAM,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
Aaron Gordon,ORL ,23,5,5,24.2%,1.4,3.0,46.7,46.7,22.6%,1.4,2.8,50.0,1.6%,0.0,0.2,0.0
Aaron Holiday,IND ,22,3,2,40.0%,0.7,0.7,100,125.0,20.0%,0.3,0.3,100,20.0%,0.3,0.3,100
Abdel Nader,OKC ,25,3,1,50.0%,0.3,0.3,100,100,50.0%,0.3,0.3,100,0.0%,0.0,0.0,-
Al Horford,BOS ,33,9,7,9.1%,0.4,1.1,40.0,45.0,8.2%,0.3,1.0,33.3,0.9%,0.1,0.1,100
Al-Farouq Aminu,POR ,28,16,6,10.2%,0.3,0.7,36.4,36.4,10.2%,0.3,0.7,36.4,0.0%,0.0,0.0,-
Alfonzo McKinnie,GSW ,26,22,1,1.7%,0.1,0.1,100,100,1.7%,0.1,0.1,100,0.0%,0.0,0.0,-
Amir Johnson,PHI ,32,4,1,25.0%,0.3,0.3,100,100,25.0%,0.3,0.3,100,0.0%,0.0,0.0,-
Andre Drummond,DET ,25,4,4,13.0%,0.0,1.8,0.0,0.0,13.0%,0.0,1.8,0.0,0.0%,0.0,0.0,-
Andre Iguodala,GSW ,35,21,9,6.0%,0.2,0.5,40.0,40.0,5.4%,0.2,0.4,44.4,0.6%,0.0,0.1,0.0
Andrew Bogut,GSW ,34,19,2,8.1%,0.1,0.2,33.3,33.3,8.1%,0.1,0.2,33.3,0.0%,0.0,0.0,-
Anfernee Simons,POR ,20,5,2,42.9%,0.0,0.6,0.0,0.0,14.3%,0.0,0.2,0.0,28.6%,0.0,0.4,0.0
Austin Rivers,HOU ,26,10,8,21.0%,0.6,1.3,46.2,57.7,11.3%,0.3,0.7,42.9,9.7%,0.3,0.6,50.0
Ben Simmons,PHI ,22,12,12,20.7%,1.1,2.0,54.2,54.2,20.7%,1.1,2.0,54.2,0.0%,0.0,0.0,-
Blake Griffin,DET ,30,2,2,28.2%,1.0,5.5,18.2,18.2,23.1%,1.0,4.5,22.2,5.1%,0.0,1.0,0.0
Boban Marjanovic,PHI ,30,11,2,5.0%,0.1,0.2,50.0,50.0,5.0%,0.1,0.2,50.0,0.0%,0.0,0.0,-
Bojan Bogdanovic,IND ,30,4,4,23.8%,1.3,3.8,33.3,33.3,19.0%,1.3,3.0,41.7,4.8%,0.0,0.8,0.0
Brad Wanamaker,BOS ,29,4,3,57.1%,0.5,1.0,50.0,50.0,57.1%,0.5,1.0,50.0,0.0%,0.0,0.0,-
Brook Lopez,MIL ,31,15,9,9.0%,0.5,0.8,58.3,58.3,9.0%,0.5,0.8,58.3,0.0%,0.0,0.0,-
Bruce Brown,DET ,22,4,3,28.6%,0.8,1.0,75.0,75.0,28.6%,0.8,1.0,75.0,0.0%,0.0,0.0,-
Bryn Forbes,SAS ,25,7,5,16.1%,0.9,1.3,66.7,66.7,16.1%,0.9,1.3,66.7,0.0%,0.0,0.0,-
CJ McCollum,POR ,27,16,16,36.5%,3.0,7.9,37.8,41.7,28.7%,2.4,6.3,38.0,7.8%,0.6,1.7,37.0
Caris LeVert,BKN ,24,5,5,21.9%,1.8,3.2,56.3,62.5,15.1%,1.4,2.2,63.6,6.8%,0.4,1.0,40.0
Chris Paul,HOU ,34,11,11,29.1%,2.1,3.9,53.5,64.0,16.9%,1.3,2.3,56.0,12.2%,0.8,1.6,50.0
Cory Joseph,IND ,27,4,4,41.7%,0.5,2.5,20.0,20.0,37.5%,0.5,2.3,22.2,4.2%,0.0,0.3,0.0
D'Angelo Russell,BKN ,23,5,5,39.2%,3.0,8.0,37.5,41.3,29.4%,2.4,6.0,40.0,9.8%,0.6,2.0,30.0
D.J. Augustin,ORL ,31,5,3,22.0%,1.0,1.8,55.6,66.7,12.2%,0.6,1.0,60.0,9.8%,0.4,0.8,50.0
